Temperature,Humidity%,Rainfall
34,80.8,Low
24,82.1,Moderate
26,91.5,Moderate
34,90.9,Moderate
32,81.5,Low
15,81.8,No Rain
25,88.9,Low
28,93.2,Low
30,88.4,Moderate
24,81.3,Low
18,72.2,No Rain
15,73.8,No Rain
19,78.2,No Rain
34,85.7,Moderate
30,78.4,Low
23,72.1,Low
21,66.5,No Rain
12,71.2,No Rain
18,73.8,No Rain
23,75.1,Low
30,78.5,Low
34,80.7,Low
30,80.3,Low
23,88.8,Low
32,76.6,Low
17,84.4,No Rain
27,82.4,Low
14,75.6,No Rain
21,65,No Rain
23,66.1,Low
33,74.5,Low
25,80.4,Low
23,77.5,Low
33,84,Low
24,86.1,Low
29,90.1,Low
33,78.7,Low
26,88.2,Low
16,85.8,No Rain
24,84.2,Low
25,88.7,Moderate
16,85.5,No Rain
33,86.2,Moderate
32,83,Moderate
25,73.2,Low
29,78.4,Moderate
34,78.5,Low
34,75.1,Low
32,77,Low
29,73.7,Low
24,72.2,Moderate
31,88.3,Low
19,75.3,No Rain
18,62.7,No Rain
12,54.6,No Rain
20,47.3,No Rain
25,50.8,Low
15,51.5,No Rain
34,43.7,Low
30,67.1,Low
25,71.8,Low
21,69.1,No Rain
15,67.5,No Rain
16,55.8,No Rain
17,58.6,No Rain
23,65,Low
33,87.1,Low
28,85.1,Moderate
33,88.9,Moderate
29,95.6,Moderate
28,99.9,Moderate
28,86.6,Low
34,88.4,Moderate
28,94.3,Moderate
34,95.6,High
17,95.6,No Rain
14,84.8,No Rain
26,90.5,Moderate
30,95,Moderate
24,93.7,Low
24,91.4,Low
28,81.4,Low
13,76.6,No Rain
34,83.6,Low
28,88.9,Moderate
32,91.4,Low
13,80.8,No Rain
17,77.9,No Rain
29,76.8,Low
15,80.2,No Rain
28,80,Low
34,91.8,Low
21,94.8,No Rain
34,91.4,Low
23,86.8,Low
28,83.7,Low
26,90.4,Low
18,91.4,No Rain
25,78,Low
16,74.5,No Rain
33,72.1,Moderate
29,90.7,Low
12,95.3,No Rain
13,90.9,No Rain
26,85.8,Moderate
23,85.8,Low
23,95.8,Low
29,89.6,Low
29,98.2,Low
18,95.8,No Rain
28,93.1,Low
26,87.6,Low
32,80.2,Moderate
23,80,Moderate
32,77.9,Moderate
27,66.5,Low
28,72.4,Moderate
33,72.4,Low
32,74.9,Low
32,69.8,Low
25,66,Moderate
24,62.9,Low
12,71.5,No Rain
28,63.4,Low
12,56.5,No Rain
12,49.3,No Rain
13,45.2,No Rain
19,43.7,No Rain
17,44.2,No Rain
23,39.9,Low
31,72.4,Moderate
27,66.5,Low
16,65.6,No Rain
21,60.2,No Rain
18,57.5,No Rain
18,60.2,No Rain
33,62.9,Moderate
27,91.9,Low
23,85.4,Moderate
26,88.4,Moderate
29,99.7,High
33,93.6,Moderate
30,81.1,Low
30,88.4,Moderate
24,95.5,Moderate
25,96,High
13,77.1,No Rain
28,76.6,Low
33,89.3,Moderate
31,95,Moderate
26,92.3,Low
25,81.8,No Rain
20,70.8,No Rain
14,65.2,Moderate
32,69,Moderate
33,88.9,Low
30,80.5,No Rain
20,67,No Rain
19,63.4,No Rain
12,66,No Rain
13,72.4,Low
23,69.6,No Rain
17,75.8,No Rain
14,78.3,Low
23,79.6,Low
26,86.8,Low
32,72,Low
26,85.8,No Rain
13,81.1,Low
33,69,No Rain
15,58.8,No Rain
20,72.1,Low
32,65.6,No Rain
12,78.3,No Rain
15,75.4,Moderate
23,85.8,Moderate
32,85.8,Low
27,94.9,Low
23,72.1,Low
30,88.4,No Rain
14,91.7,Low
27,85.1,Low
24,84.6,Low
27,74.3,Low
25,75.6,Low
28,73.5,Low
26,59.7,Low
23,59.1,Low
27,66.6,Low
34,68.7,Low
32,70.1,Low
28,66.3,Moderate
32,55.4,Low
34,70.9,Low
27,55.2,Low
26,56.9,No Rain
17,52,Low
31,44.5,No Rain
16,45.7,No Rain
20,49.9,Low
32,38.4,Moderate
24,49.5,Moderate
33,66.4,No Rain
19,60.8,No Rain
15,59.1,No Rain
15,56.9,No Rain
14,52.6,Low
27,57.6,Moderate
32,81.5,Moderate
25,80.2,Moderate
25,86.9,High
27,94.3,Moderate
33,89.4,Low
25,72.7,Moderate
27,83.2,Moderate
28,86.9,High
32,88.7,No Rain
19,71.4,Low
31,72.3,Low
30,84.1,Moderate
28,88.8,Moderate
34,85.5,Low
27,75.5,Low
25,65.5,No Rain
14,60,Low
32,66.6,Low
30,79.3,No Rain
18,73.9,No Rain
18,64.1,No Rain
17,57.8,No Rain
16,57.8,No Rain
20,59.9,No Rain
21,59.5,Low
33,63.9,No Rain
18,71.5,Moderate
24,72.2,No Rain
21,84.1,No Rain
17,66.6,Low
34,79.7,No Rain
20,75.1,No Rain
15,64.6,No Rain
18,57.3,No Rain
15,57.5,Low
24,55.9,No Rain
15,70.6,Low
29,73.5,Low
34,81.4,Low
24,80.6,Low
26,95.8,Low
31,93.6,Low
27,86.8,No Rain
14,84.3,Low
34,97.9,Low
23,83.5,Low
33,70.9,Low
25,76.9,Low
25,72.8,Low
31,61.1,Low
27,63.1,Low
32,64.4,Low
30,69.8,Moderate
30,70.7,Low
29,67,Low
32,57.3,Low
28,70.6,No Rain
14,64.9,No Rain
15,57.7,Low
33,67.5,No Rain
14,42.5,No Rain
14,42.5,No Rain
13,41.9,No Rain
21,38.3,Low
31,47.2,Moderate
30,58.3,No Rain
15,51.5,No Rain
21,53.1,No Rain
17,51.5,No Rain
12,46,Low
33,54.2,Low
25,81.2,Moderate
25,79.3,Moderate
27,82.7,High
23,90.5,Moderate
34,85.6,Low
33,67.9,Low
27,77.4,Moderate
29,81.2,High
29,85.1,No Rain
18,65.5,Low
24,70.5,Low
33,77.1,Moderate
33,84.1,Moderate
34,82.7,Low
24,70.9,No Rain
14,59.9,No Rain
12,55.2,Low
26,61.9,Low
33,72.3,Low
29,66.6,Low
23,57.8,No Rain
16,54.2,No Rain
15,51.5,No Rain
17,56.2,No Rain
19,54.7,Low
32,58.8,No Rain
20,68.5,Low
31,66.6,Low
28,76.1,No Rain
16,59.4,No Rain
21,81.5,Low
31,70.3,No Rain
17,56.8,No Rain
19,50.4,Low
29,54.2,Low
30,52.6,No Rain
17,64,No Rain
20,68,Low
29,74.7,Low
26,74.2,Low
23,85.1,Low
25,65.5,Low
31,80.2,Low
29,71.8,Low
25,71.8,Low
24,84.4,No Rain
16,76.9,Moderate
23,77.6,Low
26,76.9,Low
23,63.1,Low
26,70.9,Low
24,66.1,Low
30,70.9,Low
31,70.9,Moderate
28,64.7,Moderate
33,57.9,Low
27,77.2,No Rain
21,60,No Rain
17,55.4,Low
24,53.8,No Rain
21,47.1,No Rain
13,47.1,No Rain
16,47.3,Low
27,40.7,Low
33,49.2,Moderate
32,70.9,No Rain
17,63.5,No Rain
20,63.5,No Rain
12,55.7,No Rain
17,50.5,Low
25,63.1,Low
34,83.7,Moderate
23,76.7,Moderate
31,90.8,High
29,96.9,Moderate
28,86,Low
34,79.2,Moderate
29,83.7,Moderate
30,90.4,Moderate
27,83,No Rain
13,71.6,Low
34,72.4,Low
23,85.1,Low
34,90.8,Moderate
23,82.6,Low
30,77,No Rain
17,69.2,No Rain
16,63.2,Moderate
25,71.6,Low
30,86.8,Low
25,78.3,No Rain
18,69.9,No Rain
14,63.1,No Rain
19,63.2,Low
31,66.6,No Rain
20,65.1,No Rain
15,65.4,No Rain
18,68.3,Low
31,76.9,Low
25,85.9,No Rain
14,69.1,Low
26,83.7,No Rain
16,76.9,No Rain
12,70.6,No Rain
13,63.1,No Rain
20,65.9,Low
32,60,No Rain
20,70,No Rain
17,77,Low
23,86,Low
23,78,Low
33,92.1,Low
31,74.7,Low
26,86.8,No Rain
20,84.3,Low
28,77.8,Low
31,81.7,Low
28,72.1,Moderate
26,70,Low
27,71.5,No Rain
17,62.8,Low
31,70.4,Low
26,59.2,Low
29,68.4,Moderate
32,70.1,Low
24,65,Low
29,56.2,Low
28,78.7,No Rain
13,57.7,No Rain
16,49.6,Low
27,47.5,No Rain
14,46.1,No Rain
15,43,No Rain
14,41.2,No Rain
21,37.3,No Rain
15,48.6,Low
30,69.5,No Rain
12,56.1,No Rain
15,55.8,No Rain
15,54.1,No Rain
18,52.6,Low
31,61,Low
25,84.4,Moderate
28,82.6,Moderate
26,83.4,High
34,96,Moderate
26,89,Low
26,79.7,Low
32,81.4,Moderate
30,84.8,Moderate
27,84.5,No Rain
19,73.9,Low
27,72.4,Low
34,83.1,Moderate
24,87.4,Moderate
31,85,Low
27,75.8,Low
24,64,No Rain
15,63.1,Low
23,66.3,Low
29,83.1,Moderate
33,69.8,No Rain
13,65.8,No Rain
20,60.9,Low
23,60.6,No Rain
12,61.2,No Rain
20,65.7,No Rain
20,67.3,No Rain
14,70,Low
28,73.3,Low
32,83,Low
29,67.6,Low
23,78.9,Low
28,74.3,Low
27,71.5,No Rain
19,60.2,No Rain
20,63.2,Moderate
28,66.5,Low
32,75.3,No Rain
21,72.1,Low
23,81.1,Low
31,76.5,Low
31,92.9,Low
34,76.4,Low
27,85.5,No Rain
20,79.7,Low
34,79.6,Low
26,83.7,Low
30,76.9,Moderate
28,74.6,Low
30,75.9,Low
25,55.1,Low
31,58.9,Low
28,56.5,Low
29,58.1,Low
25,62.6,Low
28,63.3,Low
33,55.2,Low
26,76.9,No Rain
12,59.9,No Rain
18,48.7,Low
29,47.1,No Rain
18,43.1,No Rain
13,42.9,No Rain
15,41.9,No Rain
16,39.9,No Rain
12,47.1,Low
23,71.5,No Rain
14,55.9,No Rain
15,56.5,No Rain
21,55.4,No Rain
12,50.5,Low
30,55.1,Low
32,83.7,Low
30,76.7,Low
34,83.8,High
34,98.3,Moderate
32,86,Low
26,72.4,Low
31,76.7,Moderate
33,80,Moderate
34,80.2,No Rain
13,69.5,Low
24,70.3,Low
27,80.9,Moderate
33,85.9,Low
27,79.2,No Rain
32,73.7,No Rain
15,63.6,Low
14,60.5,Low
28,64.9,Moderate
30,78.7,No Rain
31,68.3,No Rain
21,65.4,Low
12,61.8,No Rain
32,54.7,No Rain
21,59.6,No Rain
17,58.7,No Rain
18,63.6,Low
14,67.4,Low
30,67,No Rain
32,76.3,Low
19,67.8,No Rain
28,74.7,Low
19,66.1,No Rain
29,65.7,No Rain
12,53.4,Low
21,52.9,Low
34,57.8,No Rain
34,59.6,Low
13,67.4,Low
29,75.9,Low
27,72.4,No Rain
32,89.7,Low
15,71.6,No Rain
34,81.3,Low
13,75.7,Low
27,73.2,Low
24,81.7,Moderate
31,76.9,Low
30,72.1,Low
24,73.4,Low
27,62.1,Low
28,65.2,Low
29,63.5,Moderate
34,68.9,Low
34,71.1,Moderate
33,70.9,Low
33,58.5,No Rain
31,77.5,No Rain
18,63.5,Low
14,55.4,No Rain
27,55.5,No Rain
19,48.7,No Rain
16,47.1,No Rain
21,47.5,No Rain
14,40.7,Low
17,47.2,No Rain
25,66.5,No Rain
15,55.8,No Rain
19,56,No Rain
12,55.8,Low
21,51.1,Low
31,61,Moderate
28,90.4,Low
29,80,High
31,84,Moderate
23,98.3,Low
28,85.2,Low
25,78.7,Moderate
27,84.2,Moderate
29,81.3,No Rain
24,90.8,Low
21,74.6,Low
32,77.5,Moderate
31,84.4,Moderate
28,88.8,Low
29,82.8,No Rain
23,77.5,No Rain
16,63.5,Low
14,66.1,Low
34,68,Low
26,81.6,No Rain
26,72.9,No Rain
13,66.7,No Rain
15,59.1,No Rain
17,63.5,No Rain
17,67.1,No Rain
21,64.7,No Rain
12,66.9,Low
19,71.2,Low
24,75.9,No Rain
31,79.1,No Rain
15,69.1,No Rain
16,83.2,Low
16,76.9,Low
30,66.4,Low
29,58.1,Low
24,63.7,No Rain
32,66.4,Low
14,71,Low
29,73,Low
28,84.4,Low
30,79.3,Low
31,94,Low
34,80.9,No Rain
28,90.4,No Rain
14,84.3,Low
12,77.5,No Rain
25,79.1,Low
12,68.4,Low
23,67.1,No Rain
34,64.1,Low
13,54.7,No Rain
32,55,Low
20,61.2,Low
23,61.7,Low
29,67.3,Low
33,61.2,Low
24,52.2,Low
30,74.9,Low
23,57.1,No Rain
30,46.9,No Rain
21,43.7,No Rain
21,39.4,No Rain
20,44.3,No Rain
15,38.5,Low
21,34.8,Moderate
33,46.6,No Rain
27,65.5,No Rain
13,53.8,No Rain
20,55.6,No Rain
15,55.7,Moderate
21,55.3,Low
25,59.1,Moderate
26,83,Low
31,80.9,High
24,89.8,Moderate
27,96.7,Low
23,84.5,Low
27,77.2,Moderate
27,83.3,Moderate
29,80.6,No Rain
27,88.4,Low
18,70.8,Low
29,74.7,Low
33,82.6,Low
30,85.9,Low
25,82.4,No Rain
32,74,No Rain
21,62.8,Low
13,62.5,Low
30,67.4,Moderate
34,79.3,No Rain
30,71.2,No Rain
12,64.9,No Rain
20,59.1,No Rain
21,60.3,No Rain
15,65,No Rain
18,64.5,No Rain
18,66.6,Moderate
17,72.7,No Rain
26,73.2,No Rain
17,78.1,No Rain
13,69.8,No Rain
13,80,No Rain
19,73.4,No Rain
19,68.2,Low
15,56.6,Low
26,63.8,Low
24,64.9,No Rain
24,69.4,Low
12,71.6,Low
33,81.3,Low
32,78.7,No Rain
28,93.1,Low
18,74.9,No Rain
27,87.2,Low
13,80.8,Low
30,76,Low
28,84.7,Low
25,72.5,Low
26,70.2,Low
27,70.6,Low
29,60.5,Low
28,60.7,Low
33,65.3,Low
23,68.1,Low
25,68.1,Low
24,62.1,Low
25,82.5,Low
33,80.5,Low
32,85.4,Low
30,71.6,No Rain
29,77.7,No Rain
12,74.8,No Rain
19,74.9,No Rain
12,74.3,Low
21,36.7,High
28,45.3,No Rain
25,71,No Rain
20,63,No Rain
20,63.8,No Rain
14,63.3,Moderate
12,58.7,Low
26,60.9,Moderate
30,90.1,Moderate
26,84.4,High
32,83.7,Moderate
30,94.6,Low
32,92.1,Moderate
27,76.8,High
33,81.9,Moderate
24,87.3,No Rain
26,99.8,Low
14,71.1,Low
26,74.4,Moderate
23,86.2,Low
31,91.2,Low
26,90.7,No Rain
32,80.9,Moderate
18,61.8,Low
30,63.9,Low
30,75.4,Low
23,83.3,No Rain
25,77.3,No Rain
16,70.2,No Rain
13,62.3,No Rain
14,61.3,No Rain
17,65.4,No Rain
18,61.8,No Rain
21,72.5,Low
20,80,Moderate
24,73.5,Low
31,82.8,Low
28,76.8,Low
26,84.7,No Rain
25,76.4,No Rain
12,63.8,Low
18,61.8,Moderate
24,62.8,No Rain
24,66.4,No Rain
18,73.5,Moderate
15,74,Low
33,86.9,Low
33,87.6,Low
29,91.6,Low
33,73,No Rain
34,82.8,No Rain
13,82.6,No Rain
16,81.6,No Rain
15,81.8,Moderate
19,69.4,Low
23,67.5,Low
26,70.4,Low
32,57.8,Low
29,63.2,Low
31,66.8,Low
23,65.3,Low
23,56.3,Low
30,63,No Rain
23,58.9,No Rain
16,61.8,Low
18,65.3,No Rain
28,52.2,No Rain
18,54,No Rain
14,52.8,No Rain
21,50.2,No Rain
13,49,Moderate
15,43.5,Moderate
33,51.8,No Rain
28,68.8,No Rain
13,59.9,No Rain
15,57.9,No Rain
13,57.6,Moderate
20,56.7,Moderate
23,60,Moderate
27,84.5,Moderate
33,82.1,High
31,82.6,Moderate
26,92.4,Low
24,90,Moderate
30,72.2,High
33,79.9,Moderate
33,83.8,Low
32,89.4,Low
34,71.6,Moderate
24,74.9,Low
34,83.7,Low
28,87.4,Low
26,87.6,Low
32,76.3,Moderate
31,64.3,Low
32,61.9,No Rain
26,73.7,Low
15,81.2,No Rain
32,74.2,No Rain
14,66.8,No Rain
13,63.5,No Rain
15,62,No Rain
16,66.4,No Rain
12,64.9,Low
18,70.5,Low
28,76.6,Low
32,72.7,Low
29,81.6,Low
30,68.8,Low
25,77.6,No Rain
27,70.8,No Rain
17,65.4,Low
17,58.6,Low
31,61.1,Low
34,68.8,No Rain
31,73.3,Low
18,73.7,Low
31,80.4,No Rain
33,81.8,Low
13,86.3,Low
23,68.1,No Rain
34,80.8,Low
19,79.1,Low
25,74.6,No Rain
34,81,Moderate
14,68.8,Low
28,62,No Rain
27,71.4,Moderate
19,54.1,Low
32,57.4,No Rain
24,61.4,Moderate
17,66.7,Low
34,57,Moderate
33,63.1,No Rain
33,57.7,No Rain
17,60.3,No Rain
21,53.8,No Rain
21,53.8,No Rain
18,46.1,No Rain
13,39.2,No Rain
14,38.8,No Rain
18,42,Moderate
17,40.1,Low
26,46.1,No Rain
33,64.2,No Rain
19,62.4,No Rain
13,60.5,No Rain
14,60.2,Moderate
18,70.9,Moderate
29,65,Moderate
25,76.6,Moderate
32,77.7,High
32,84.5,Moderate
30,90,Low
24,76.9,Moderate
25,71.5,Moderate
34,77.6,Moderate
29,82.3,Low
32,76.9,Low
28,74.1,Moderate
33,80.6,Moderate
34,75.6,Low
23,73.2,Low
27,82,Low
32,73.8,Low
27,68.8,Low
29,62.7,No Rain
27,73,Low
16,80.1,No Rain
32,71,No Rain
21,67.4,No Rain
15,63.7,No Rain
14,59.7,No Rain
12,66.3,No Rain
20,61.2,No Rain
20,70.4,Low
16,74.1,Low
32,69.4,No Rain
33,70.2,Low
18,60.8,Low
34,76.6,No Rain
25,69.5,No Rain
14,62.3,No Rain
14,57.5,Low
12,65.5,Low
33,68.8,Low
24,74.7,Low
29,72.5,Low
30,82.4,No Rain
28,72.8,Low
19,82.6,Low
34,66.1,No Rain
32,71.5,Low
14,74.4,Low
29,72.4,Low
25,85.5,Low
27,73.9,Low
24,77.1,Low
24,77.9,Low
29,63.1,Low
25,63.1,Low
26,72.4,Low
31,73.3,Moderate
27,70.6,Moderate
28,67,Low
28,65,No Rain
24,67.8,No Rain
16,60.5,Low
15,54.5,No Rain
26,48.6,No Rain
18,45.2,No Rain
17,44.7,No Rain
15,48.6,Low
15,37.3,Moderate
31,47.4,No Rain
29,63.4,No Rain
18,59.5,No Rain
13,60.4,No Rain
20,69.4,Moderate
19,56.1,Moderate
29,58.8,Moderate
25,87.5,Moderate
31,85.4,High
34,85,Moderate
25,96.4,Low
30,90.3,Moderate
25,75.3,High
24,82.6,High
32,86.4,No Rain
32,92,Low
21,79.4,Low
24,77.7,Moderate
33,86.4,Low
26,89.8,Low
31,93.1,Low
30,76.1,Moderate
29,69.5,Low
34,60.5,Low
34,71.1,Low
26,86.1,No Rain
24,79.9,No Rain
16,63.9,Low
19,60.4,No Rain
33,59.8,Low
16,73.9,No Rain
28,61.3,No Rain
19,74.8,Low
19,74.3,Low
29,78.8,Low
28,89.2,Low
27,69,Low
29,86.4,No Rain
34,73.6,No Rain
17,70.4,No Rain
21,56.9,Moderate
18,70.9,No Rain
32,73,No Rain
21,73.1,Low
21,75.8,Low
28,81.5,Low
23,85.6,No Rain
27,89.7,Low
16,72,No Rain
30,85.3,No Rain
19,78.9,Low
18,77.3,Low
26,83.7,Low
28,74.3,Low
27,69.1,Low
33,69.9,Low
30,55,Low
24,55.1,Low
27,62.6,Low
24,65.2,Low
23,67.3,Moderate
23,60.6,Low
26,52.9,No Rain
33,65,No Rain
14,55.2,No Rain
20,50.3,No Rain
20,47.1,No Rain
17,42.2,No Rain
12,40.8,No Rain
14,40.8,Low
14,36.3,Moderate
27,47.6,No Rain
33,66.2,No Rain
14,65.3,No Rain
13,60.8,No Rain
13,57.4,Moderate
16,56.7,Moderate
25,60,Moderate
34,86.1,Moderate
30,79.3,Low
24,86.4,Low
34,95.8,Moderate
34,93.2,Moderate
33,77.2,Moderate
26,84,No Rain
32,88.7,Low
25,90.8,Low
18,74.2,Moderate
23,74.1,Low
25,84.3,Low
29,91.1,Low
30,88.2,No Rain
33,75.7,No Rain
30,65.6,Low
20,61.6,Low
19,67.7,No Rain
24,78.7,No Rain
25,76.1,Low
19,63.7,No Rain
15,60.5,No Rain
25,58.3,No Rain
19,63.6,No Rain
12,62.7,Moderate
19,64.3,Low
13,72.1,Low
26,73.1,No Rain
28,82.6,No Rain
26,70,No Rain
20,79.3,No Rain
21,73.7,No Rain
12,60.2,Low
21,56.2,No Rain
15,60.9,Low
29,59.1,Low
18,76.3,Low
23,74.1,No Rain
29,83.1,No Rain
26,83.2,Low
16,88.1,No Rain
17,70.2,No Rain
34,85.2,Low
12,76.8,Low
16,76,Moderate
30,86.3,Low
26,77.5,Low
29,75.5,Moderate
28,74.7,Low
30,56.6,Low
27,57.5,Moderate
23,66.2,Low
26,67.6,Moderate
28,67.6,Low
28,66.1,No Rain
34,63.5,Low
24,65.5,Low
20,63.4,No Rain
27,55.7,No Rain
31,54.7,No Rain
12,45.5,Low
19,45.2,Moderate
12,42.4,Moderate
29,41.2,No Rain
34,52.9,No Rain
23,70,No Rain
21,62.2,No Rain
17,63.4,Low
21,63.9,Moderate
12,63,Moderate
29,61.8,Moderate
32,90,High
30,86.7,Low
31,90,Low
29,98.5,Moderate
25,92,Moderate
30,79.6,High
30,88.5,No Rain
30,93.2,Low
28,93.5,Moderate
16,75.5,Moderate
26,74,Low
26,87.8,Low
26,93.9,No Rain
26,91.2,No Rain
30,79.1,Low
21,67.1,Low
15,66.9,No Rain
28,68.8,Low
25,84.1,No Rain
13,76.8,No Rain
30,70.3,No Rain
17,59.9,No Rain
14,63.5,No Rain
21,66.9,No Rain
19,64.5,Moderate
18,70.1,Low
18,77.4,No Rain
32,76,Low
33,89.3,Moderate
16,69.2,Low
25,76.6,No Rain
23,73.1,No Rain
28,70.6,Low
18,57.5,No Rain
18,61.4,No Rain
27,64.8,Low
13,74.2,Low
16,78.5,No Rain
34,85.5,Low
24,83.2,Low
18,86.7,No Rain
24,71.5,Low
24,88.7,Low
17,84,Moderate
34,78.1,Moderate
34,89.7,Low
27,84.7,Low
24,83.2,Low
32,80.1,Low
27,68.7,Low
29,73.4,Moderate
30,75.4,Low
27,72.6,Low
31,69.8,Moderate
30,71.8,No Rain
24,65.5,Low
26,75.7,Low
21,75,No Rain
29,65.6,No Rain
24,62.7,No Rain
21,51.1,Low
12,51,High
13,48.1,Moderate
27,44.5,No Rain
23,63.3,No Rain
29,70.8,No Rain
16,71.1,No Rain
12,61.9,Low
16,65.5,Low
12,68.5,Moderate
33,66,Moderate
29,94.6,Moderate
25,91.8,Low
27,95.1,Low
23,99.6,Moderate
26,93.8,Moderate
33,80.7,High
30,89.7,No Rain
25,97.9,Low
30,96.3,Low
21,78.9,Moderate
27,81.9,Moderate
25,94.7,Low
26,97.4,No Rain
33,90.2,No Rain
34,81.3,Low
13,74.1,Low
13,71.4,No Rain
24,71.7,No Rain
24,91.1,No Rain
18,83.3,No Rain
16,74.8,Low
18,72,No Rain
13,68.3,No Rain
26,76.7,No Rain
13,69.7,Low
21,77.2,Low
19,76.5,Low
32,79.9,Low
30,91.1,Moderate
27,76.5,No Rain
32,86,No Rain
23,79.6,No Rain
18,76.3,Low
17,67.9,No Rain
13,74.3,No Rain
33,68.3,Moderate
18,81.4,Low
18,86,Low
31,91.5,Low
24,91,Low
28,92.2,Low
33,80.7,Low
27,89.9,Low
32,91.9,Moderate
28,84,Moderate
31,89.3,Moderate
33,85.1,Low
34,87.7,Moderate
30,83.5,Low
27,75,Low
33,69.4,Moderate
24,75.9,Low
33,73.4,Low
30,70.5,Low
28,73.5,No Rain
31,70.1,Low
28,77.4,No Rain
12,74.9,No Rain
34,67.8,No Rain
12,64.5,No Rain
16,50.9,Low
12,50.7,Moderate
15,47.5,Moderate
23,43.3,No Rain
26,61.3,No Rain
27,73.8,No Rain
17,75.7,No Rain
21,66.2,Low
14,67.7,Low
21,70.3,Moderate
32,67.8,Moderate
28,91,High
23,87.8,Low
25,96.6,Low
23,99,Moderate
32,97.3,Moderate
32,85.9,High
23,91.7,No Rain
25,98.6,Low
24,91.3,Low
16,82.6,Moderate
30,83.1,Moderate
27,95.5,Low
29,97.2,No Rain
29,94.6,No Rain
27,83.7,Low
16,76.3,Low
15,71.3,Low
33,73.9,Low
27,92,No Rain
27,86.7,No Rain
27,76.7,Low
17,73.2,No Rain
17,67.6,Low
33,80.5,No Rain
14,71.7,Low
32,77.3,Low
20,76.5,Low
29,78.8,No Rain
31,90.8,Moderate
28,80,No Rain
18,86.6,No Rain
27,80,Low
19,77.8,Low
19,70,No Rain
31,72,No Rain
34,74,Low
14,84,Low
19,85.5,Low
26,91.3,Low
29,92.8,Low
34,92.7,Low
29,84.8,Low
30,91.7,No Rain
25,93.2,Moderate
34,85.5,Moderate
